hours_of_revision,score,pass
0.0,2,0
0.25,2,0
0.25,24,0
0.25,22,0
0.25,20,0
0.25,38,0
0.25,11,0
0.25,3,0
0.5,38,0
0.5,4,0
0.5,5,0
0.5,14,0
0.75,53,1
0.75,36,0
0.75,6,0
0.75,6,0
1.0,6,0
1.0,7,0
1.0,22,0
1.0,9,0
1.5,41,0
1.5,13,0
1.5,47,0
1.5,52,1
1.5,33,0
1.5,17,0
1.5,38,0
1.75,28,0
1.75,23,0
2.0,24,0
2.0,40,0
2.0,27,0
2.0,65,1
2.0,23,0
2.0,30,0
2.0,31,0
2.25,59,1
2.25,35,0
2.25,52,1
2.25,84,1
2.25,70,1
2.5,25,0
2.5,53,1
2.5,52,1
2.75,52,1
2.75,89,1
2.75,58,1
2.75,59,1
3.0,61,1
3.0,49,0
3.25,74,1
3.25,76,1
3.25,73,1
3.25,49,0
3.25,67,1
3.25,75,1
3.5,51,1
3.5,81,1
3.5,89,1
3.5,53,1
3.5,96,1
3.5,96,1
3.75,87,1
4.0,88,1
4.0,89,1
4.0,71,1
4.25,75,1
4.25,92,1
4.25,66,1
4.5,76,1
4.5,80,1
4.75,96,1
4.75,81,1
4.75,96,1
4.75,49,0
5.25,52,1
5.25,55,1
5.75,99,1
5.75,99,1
6.75,100,1
6.75,100,1
7.0,100,1
7.75,100,1
